Song Name,Original Artist,Debut Date,Last Played,Times Played Live,Avg Show Gap
Black Sabbath,Black Sabbath,2004-10-30,2022-02-20,16,126.56
Black Water,The Doobie Brothers,2001-03-17,2025-01-25,46,56.11
Bloody Well Right,Supertramp,2006-12-30,2013-04-17,15,115.47
Blue Echo,,2001-04-26,2024-12-31,284,9.43
Bob,,1998-01-21,2013-01-20,53,54.62
Bob's Cloud,Dr. Didg,2000-01-28,2007-02-27,17,158.29
Bombtrack,Rage Against the Machine,2008-02-15,2020-02-29,5,321.0
Bonafide Lovin',Chromeo,2009-04-11,2011-04-02,4,365.5
Booth Love,,2010-02-14,2025-04-20,255,5.33
Born Under a Bad Sign,William Bell/Booker T. Jones,2001-04-19,2007-04-03,2,1283.0
Brain Damage,Pink Floyd,2006-06-16,2025-03-14,3,598.67
Brass In Pocket,The Pretenders,2018-01-26,2018-01-26,1,535.0
Breaker,,2016-05-06,2024-02-10,17,40.76
Breathe,Pink Floyd,2005-12-31,2025-03-07,50,41.4
Bridge Of Sighs,Robin Trower,2006-11-08,2006-11-08,1,1743.0
Bridgeless,,2004-01-30,2025-04-05,632,5.05
"Bright Lights, Big City",Karl Engelmann,2004-01-30,2024-12-31,253,8.89
Bron-Y-Aur Stomp,Led Zeppelin,2010-04-24,2019-06-23,2,669.5
Bron-Yr-Aur,Led Zeppelin,2001-02-08,2016-03-25,13,199.77
Brown Eyed Girl,Van Morrison,2000-01-28,2000-01-28,1,2691.0
Bubblehouse,Medeski Martin & Wood,1998-01-29,1999-06-05,15,189.27
Bubbles,Herbie Hancock,2003-06-08,2003-12-10,4,558.75
Bullhead City,,2002-04-20,2025-04-04,18,133.67
Bulls on the Bus,Rage Against the Machine/The Beastie Boys,2010-10-30,2010-11-09,2,640.5
Bullshit Anthem,Fantastic Negrito,2019-12-31,2020-02-01,2,181.5
Burnin' and Lootin',Bob Marley,2005-05-13,2017-04-01,5,390.2
Burnin' for You,Blue Öyster Cult,2012-02-17,2012-02-17,1,1137.0
Burning Down the House,Talking Heads,1998-01-21,2012-04-20,25,113.6
Bus Call,,2011-04-02,2023-01-26,2,615.5
Bust a Move,Young MC,1998-10-31,1998-10-31,1,2789.0
Call to Arms,Sturgill Simpson,2016-12-31,2025-04-04,6,106.33
Can't Find My Way Home,Blind Faith,2001-02-08,2021-06-19,23,112.91
Can't Rock My Dream Face,The Weeknd/Fleetwood Mac/Michael Jackson,2015-10-31,2018-12-30,2,372.0
Can't Stand Losing You,The Police,2019-10-31,2020-03-05,2,186.5
Can't Take My Eyes Off Of You,Frankie Valli,2009-12-31,2009-12-31,1,1378.0
Can't You Hear Me Knocking,The Rolling Stones,2007-12-30,2024-04-13,35,46.09
Can't You See,The Marshall Tucker Band,2009-10-02,2022-07-23,20,70.45
Canary in a Coalmine,The Police,2017-12-31,2019-02-22,4,136.75
Canned Heat,Jamiroquai,2024-12-31,2024-12-31,1,37.0
Cantaloupe Island,Herbie Hancock,1999-04-01,2001-06-22,19,145.21
Cantaloupe Woman,Grant Green,1998-01-31,2000-05-12,14,202.71
Cantina Band,John Williams,2000-12-31,2013-04-26,3,867.67
Carol of the Bells,Leontovych/Wilhousky,1999-12-17,2002-12-12,3,898.0
Carry That Weight,The Beatles,2002-12-31,2013-04-26,4,575.75
Cars Trucks Buses,Phish,1998-02-27,1998-10-10,5,566.6
Cat Scratch Fever,Ted Nugent,2004-11-11,2005-02-24,2,1009.5
Catshot,,2009-02-19,2025-02-27,43,34.58
Celtic Alleluia,"Fintan O'Carroll, Christopher Walker",1998-06-05,2005-04-01,27,104.0
Cemetery Walk,,2009-01-19,2025-04-18,181,8.28
Cemetery Walk II,,2009-01-24,2025-04-18,160,9.46
Chameleon,Herbie Hancock,1999-04-01,2001-06-29,10,275.9
Chapter 1,,2016-01-28,2016-01-28,1,731.0
Chapter 10,,2016-01-28,2016-01-28,1,731.0
Chapter 11,,2017-01-27,2017-01-27,1,630.0
Chapter 12,,2017-01-27,2017-01-27,1,630.0
Chapter 13,,2017-01-27,2017-01-27,1,630.0
Chapter 14,,2017-01-27,2017-01-27,1,630.0
Chapter 15,,2017-01-27,2017-01-27,1,630.0
Chapter 16,,2017-01-27,2017-01-27,1,630.0
Chapter 17,,2017-01-27,2017-01-27,1,630.0
Chapter 18,,2017-01-27,2017-01-27,1,630.0
Chapter 19,,2017-01-27,2017-01-27,1,630.0
Chapter 2,,2016-01-28,2016-01-28,1,731.0
Chapter 20,,2017-01-27,2017-01-27,1,630.0
Chapter 21,,2017-01-27,2017-01-27,1,630.0
Chapter 3,,2016-01-28,2016-01-28,1,731.0
Chapter 4,,2016-01-28,2016-01-28,1,731.0
Chapter 5,,2016-01-28,2016-01-28,1,731.0
Chapter 6,,2016-01-28,2016-01-28,1,731.0
Chapter 7,,2016-01-28,2016-01-28,1,731.0
Chapter 8,,2016-01-28,2016-01-28,1,731.0
Chapter 9,,2016-01-28,2016-01-28,1,731.0
Chariots of Fire,Vangelis,2018-01-12,2018-01-12,1,545.0
Cheap Sunglasses,ZZ Top,2010-08-01,2025-03-20,32,41.03
Cherub Rock,The Smashing Pumpkins,2002-12-30,2023-09-15,36,64.0
Chevrolet,Taj Mahal,1999-07-24,2003-04-18,17,159.82
Chicago,,2012-04-26,2012-04-26,1,1110.0
Children's Story,Slick Rick,2008-02-17,2008-02-17,1,1603.0
Chitlins Con Carne,Kenny Burrell,2001-05-12,2007-07-05,14,182.57
Christmas In Hollis,Run-D.M.C.,2015-12-31,2015-12-31,1,739.0
Christmas Time Is Here,Vince Guaraldi,2005-12-08,2005-12-09,2,933.5
Church,Galactic,1999-04-01,2000-08-24,16,172.44
Cinnamon Girl,Neil Young,2006-12-30,2024-04-11,7,247.43
Cirrus,Bonobo,2023-08-19,2023-08-19,1,143.0
Cissy Strut,The Meters,1998-10-09,2001-09-18,34,87.31
City of Tiny Lites,Frank Zappa,2005-09-04,2005-09-04,1,1911.0
Clint Eastwood,Gorillaz,2013-03-15,2013-03-15,1,1014.0
Closer,Nine Inch Nails,2008-12-31,2008-12-31,1,1499.0
Cocaine,J.J. Cale,2003-09-10,2020-03-05,10,219.8
Cochise,Audioslave,2017-07-23,2017-07-23,1,577.0
Cold Gold,Brock Butler,2010-02-09,2010-06-03,2,682.0
Come As Your Kids,Nirvana/MGMT/Dead or Alive,2011-10-29,2025-03-15,18,65.06
Come Closer,Nine Inch Nails/The Beatles,2008-02-13,2025-03-22,30,53.53
Come To Mama,Etta James,2008-12-31,2008-12-31,1,1499.0
Come Together,The Beatles,2007-03-15,2018-10-14,2,856.0
Comfortably Numb,Pink Floyd,2009-02-22,2024-07-20,30,49.43
Coming In From the Cold,Bob Marley,2000-06-14,2019-01-26,19,140.47
Comma Later,,2012-04-27,2025-04-19,75,14.79
"Computer ""G""",Kenny Garrett,2001-06-02,2001-11-30,3,849.33
Concessions,,2024-04-27,2025-04-19,10,7.7
Conduit,,2010-02-13,2025-03-07,229,6.19
Constellations,,2013-04-26,2013-04-26,1,998.0
Controversy,Prince,2016-04-28,2024-10-26,8,87.0
Corduroy,Pearl Jam,2024-08-24,2025-02-27,2,27.0
Cowboys from Hell,Pantera,2004-12-09,2004-12-09,1,2008.0
Crazy Fingers,Grateful Dead,2008-09-01,2014-05-03,3,513.0
Creep,Radiohead,2021-11-19,2023-02-11,3,93.33
Crosseyed and Painless,Talking Heads,2023-05-27,2023-05-27,1,161.0
Crossroads,Johnson/Clapton,1999-05-11,1999-06-24,4,686.75
Crucial Taunt,,2012-05-27,2025-04-19,89,12.39
Cruel Summer,Banarama,2013-10-17,2013-10-17,1,957.0
Cult of Personality,Living Color,2021-11-13,2025-04-26,5,56.6
Cummins Lies,,2009-02-20,2016-02-14,24,61.92
Cut Off,,2016-12-31,2025-01-17,22,29.0
Cut the Cable,,2012-12-30,2025-03-19,111,9.41
Daffodils,Mark Ronson,2016-01-02,2025-03-19,19,38.79
Damn Right I've Got the Blues,Buddy Guy,2008-12-29,2012-04-26,2,750.5
Dance Hall Days,Wang Chung,2012-12-31,2025-03-12,9,115.89
Dancing Days,Led Zeppelin,2016-04-07,2018-08-24,4,176.5
Dark Brush,,2018-02-18,2020-02-15,10,52.6
Dark Side of the Street,Arlo McKinley and the Free People,2019-11-08,2019-11-08,1,369.0
Day Dreaming,Aretha Franklin,2008-12-13,2008-12-13,1,1502.0
Day Nurse,,2011-01-28,2025-04-19,175,7.25
Dayville Monarchy,,2022-07-16,2023-01-26,4,56.0
Dazed and Confused,Led Zeppelin,2021-07-03,2021-07-03,1,309.0
Dazzey Duks,Duice,2002-08-17,2002-11-01,3,785.67
"De Do Do Do, De Da Da Da",The Police,2002-12-12,2002-12-12,1,2307.0
DeWayne,,2001-02-02,2001-02-02,1,2599.0
Dear Doctor,The Rolling Stones,2001-04-20,2001-04-20,1,2565.0
Dear Lord,,1998-01-29,2024-07-06,56,50.7
Dear Prudence,The Beatles,2002-09-18,2024-04-18,25,93.72
Debra,Beck,2000-07-22,2022-04-28,9,295.33
Dee,Randy Rhoads,2004-03-23,2021-08-12,8,264.5
Deeper,,2010-12-31,2025-01-17,86,14.73
Demolition Man,The Police,2010-12-31,2010-12-31,1,1267.0
Den,,2012-04-27,2025-04-25,80,13.86
Depth Charge,,2012-05-26,2021-08-20,20,55.2
Der Bluten Kat,,1998-08-27,2025-04-25,704,5.72
Detroit Rock City,Kiss,2012-02-18,2018-12-31,2,568.0
Dick in a Box,The Lonely Island,2006-12-31,2019-12-31,3,577.0
Dig A Pony,The Beatles,2005-10-28,2024-07-17,9,209.22
Digital Buddha,The Disco Biscuits,2006-06-10,2006-06-10,1,1798.0
Dim Sun,,2011-09-14,2024-07-17,11,108.09
Dio,Tenacious D,2001-11-16,2001-11-16,1,2476.0
Dirty Love,Frank Zappa,1999-10-01,2023-02-03,36,75.17
Divisions,,1998-01-21,2025-04-20,447,8.21
Domino Theory,,2011-09-06,2025-04-25,125,9.89
Don't Do It,The Band (Holland / Dozier / Holland),2004-12-31,2021-06-27,3,667.67
"Don't Fear the Doves, Snucka",Prince/Umphrey's McGee/Blue Öyster Cult,2013-10-31,2013-10-31,1,948.0
Don't Fight It,Wilson Pickett,2011-05-29,2011-05-29,1,1222.0
Don't Stop 'til You Get Enough,Michael Jackson,2008-12-31,2016-05-07,9,166.56
Don't Stop Until Crosstown Traffic,Michael Jackson/Jimi Hendrix,2010-07-03,2010-07-03,1,1326.0
Don't Stop the Spirit of the Radio,Journey/Rush,2010-10-31,2010-11-04,2,640.0
"Don't Think Twice, It's All Right",Bob Dylan,2025-04-04,2025-04-04,1,7.0
Don't You (Forget About Me),Simple Minds,2013-12-30,2025-03-07,15,62.67
Dough Bro,,2002-11-01,2022-01-21,3,773.0
Down Under,Men at Work,1998-04-04,2023-09-17,78,36.22
Downtrodden,,2016-05-06,2016-05-06,1,693.0
Dr. Feelgood,Mötley Crüe,2002-04-10,2022-09-10,49,49.29
Draconian,,2015-05-01,2025-03-20,81,9.97
Dream Team,,2012-04-27,2012-04-27,1,1109.0
Dreams,Fleetwood Mac,2011-02-13,2013-04-13,4,312.5
Drift Away,Mentor Williams,2018-08-12,2018-08-12,1,488.0
Drink My Drank,,2012-12-29,2025-02-01,18,58.06
Driven to Tears,The Police,2014-05-23,2025-01-16,30,29.73
Drums,,1998-02-20,2025-01-18,228,12.94
Duck Butter,,2003-07-27,2008-09-01,3,735.67
Dump City,,2002-01-23,2025-02-27,364,7.2
E-Pro,Beck,2021-08-22,2021-08-22,1,293.0
E.T.I.,Blue Öyster Cult,2003-11-22,2019-02-14,31,69.68
East Nashville Easter,Yonder Mountain String Band,2011-07-13,2011-07-13,1,1206.0
Easy,The Commodores,2003-02-14,2007-09-15,2,1143.5
Eat,,2006-02-22,2025-03-14,145,15.8
Eclipse,Pink Floyd,2006-06-16,2025-03-14,3,598.67
Educated Guess,,2014-07-05,2025-03-12,92,9.5
Electric Avenue,Eddy Grant,1998-10-31,1998-10-31,1,2789.0
Electric Avenue to Hell,Umphrey's McGee/AC/DC/Eddy Grant,2013-10-31,2022-03-26,5,189.6
Elephants,Karl Denson,2023-12-31,2023-12-31,1,123.0
Eminence Front,The Who,2009-03-28,2024-02-16,29,50.76
Empty the Tank,,2009-04-05,2009-04-05,1,1467.0
End of the Road,,2006-04-03,2025-03-20,102,17.99
Enter Sandman,Metallica,2023-06-17,2023-06-17,1,152.0
Equal Rights,Peter Tosh,1999-07-24,2010-10-06,24,113.21
Escape,Rupert Holmes,2017-07-23,2017-07-23,1,577.0
Escape Goat,,2022-07-15,2025-04-20,44,5.11
Even If You Don't,Ween,2015-05-22,2022-01-22,3,261.67
Every Little Thing She Does Is M...,The Police,2019-10-31,2019-10-31,1,373.0
Every Rose Has Its Thorn,Poison,1998-10-31,2001-09-08,3,929.67
Example 1,,1999-08-27,2025-03-12,343,8.32
Exit Signs,,2022-11-12,2025-01-24,8,25.63
FDR,,2003-04-23,2013-04-26,2,1127.5
FF,,1998-01-21,2025-01-23,327,8.9
Fame,David Bowie and John Lennon,2004-02-05,2025-01-22,19,112.63
Family Feud theme,Edd Kalehoff,2002-07-19,2006-05-04,20,124.47
Farther Down The Road (You Will ...,Taj Mahal,2001-12-31,2006-12-31,2,1231.5
Fat Man in the Bathtub,Little Feat,2018-12-31,2019-02-15,2,229.5
Father and Son,Cat Stevens,2002-10-05,2002-10-05,1,2333.0
Fearless,Pink Floyd,2006-09-22,2023-11-30,7,252.0
Feel Like Makin' Love,Bad Company,2021-11-13,2021-11-13,1,283.0
Feelin' Alright,Traffic/Joe Cocker,2014-12-31,2015-02-12,2,416.5
Fenced In,,2022-08-20,2025-03-19,26,8.38
Final Word,,2013-04-26,2025-03-06,37,26.97
Flamethrower,,2012-02-10,2024-02-09,32,35.69
Fly Like a Beagle,,2016-05-06,2016-05-06,1,693.0
Flying,The Beatles,1999-12-18,2025-03-20,36,74.81
Fool in the Rain,Led Zeppelin,1999-01-21,2019-01-11,96,32.3
Fool's Gold,,2013-04-26,2013-04-26,1,998.0
Footsteps,Pearl Jam,2020-03-07,2020-03-07,1,340.0
Forks,,2011-05-28,2025-03-05,30,40.77
Forty-Six & 2,Tool,2012-04-27,2022-11-11,12,92.42
Frankie Zombie,White Zombie/Frankie Goes to Hollywood/Pink Floyd,2012-10-27,2025-01-31,17,62.12
Franklin's Tower,Grateful Dead,1998-04-01,2005-02-12,4,706.5
Freedom of '76,Ween,2012-02-11,2017-09-23,3,380.33
Freedom! '90,George Michael,1999-06-06,2019-11-01,12,228.0
Friend of the Devil,Grateful Dead,2005-04-01,2005-04-01,1,1975.0
From the Beginning,"Emerson, Lake & Palmer",2016-03-11,2016-03-11,1,716.0
Front Porch,,1998-05-21,2025-04-19,352,10.34
Front Port,,2001-02-08,2002-12-13,3,865.67
Fu-Gee-La,Fugees,2024-06-22,2024-06-22,1,66.0
Fuck You,Cee Lo Green,2010-09-04,2010-10-08,2,651.5
Full Frontal,,2015-01-01,2023-08-27,12,69.33
Funk Improv,,2014-05-03,2014-05-03,1,894.0
Funk Jam,,2010-04-24,2010-04-24,1,1339.0
Funky Bitch,Son Seals,1998-05-02,1998-05-27,2,1408.0
Funky Stuff,Kool & the Gang,2013-12-31,2013-12-31,1,939.0
G-Song,,1998-01-29,2014-11-08,107,35.05
Garbage Man,Ike Turner and the Family Vibes,1999-12-17,2004-10-08,33,81.64
Gents,,2014-05-03,2021-08-14,17,52.59
Gesture Under a Mitten,,2002-01-23,2002-08-27,35,70.34
Get Down,War,2001-08-11,2002-11-22,23,109.43
Get In The Van,,2001-08-11,2025-04-19,259,9.72
Get Lucky,Daft Punk,2013-04-20,2013-04-26,2,499.5
Get Up (I Feel Like Being a) Sex...,James Brown,2010-12-31,2010-12-31,1,1267.0
Ghostbusters,Ray Parker Jr.,1998-10-31,1998-10-31,1,2789.0
Gin and Juice,Snoop Dogg,2002-11-14,2012-07-04,3,772.33
Girlfriend is Better,Talking Heads,2010-04-24,2025-03-05,34,39.38
Give It To Mama Jama,Carl Carlton/Rick James,2014-10-31,2014-10-31,1,845.0
Glide,Pleasure,2013-12-30,2017-12-03,4,235.0
Glory,,2002-05-17,2025-04-19,387,6.31
Go to Hell,,2009-10-03,2025-03-15,85,17.17
Gobbler's Knob,,2015-08-15,2015-08-15,1,759.0
God Gave Rock 'n' Roll To You II,Kiss,2006-11-17,2006-11-17,1,1737.0
Goin' Down Slow,St. Louis Jimmy Oden,2005-11-19,2005-11-19,1,1872.0
Going to California,Led Zeppelin,2011-04-02,2023-09-10,2,615.5
Golden Slumbers,The Beatles,2002-12-31,2013-04-26,4,575.75
Golden Years,David Bowie,2016-12-31,2024-06-15,3,212.67
Gone for Good,,2016-01-01,2018-03-08,16,46.13
Good Morning Good Morning,The Beatles,2004-12-31,2012-12-31,2,1001.5
Good Ol' Boys,Waylon Jennings,2001-08-11,2016-08-19,55,46.61
Good Times Bad Times,Led Zeppelin,2018-08-24,2023-09-10,4,120.5
Goodbye Blue Sky,Pink Floyd,2001-11-02,2001-11-02,1,2477.0
Goonville,,2015-03-08,2024-08-29,24,33.58
Got Me Wrong,Alice In Chains,2001-08-18,2002-09-17,11,228.55
Got Your Milk (Right Here),Ali Baba's Tahini,2005-12-09,2025-03-05,172,10.85
Graceland,Paul Simon,2010-02-09,2020-02-12,5,272.8
Gravity's Real,,2013-04-26,2023-02-25,4,249.5
Great American,,2004-10-22,2025-01-19,172,14.72
Groove Holmes,Beastie Boys,1998-02-19,2016-03-18,30,94.5
Gulf Stream,,2008-02-15,2025-04-18,79,20.32
Gurgle,,2012-02-16,2025-02-28,48,23.71
Gut Strut,,1998-02-11,1999-05-19,21,135.05
Hajimemashite,Tashi Station,1998-01-31,2025-03-14,388,7.41
Half Delayed,,2017-12-30,2025-03-07,83,6.6
Halloween theme,John Carpenter,2003-10-31,2012-10-31,3,723.67
Handshake Drugs,Wilco,2019-08-18,2019-08-18,2,392.0
Hang Up Your Hang Ups,Herbie Hancock,2014-12-31,2019-01-16,8,104.13
Hanging Chads,,2018-10-18,2021-06-19,3,156.67
Hangover,,1998-09-12,2025-01-25,419,7.76
Happiness is a Warm Gun,The Beatles,2013-06-21,2013-06-21,1,983.0
Happy Birthday,,1999-01-21,2001-02-10,2,1389.0
Have A Cigar,Pink Floyd,2019-06-21,2023-08-24,4,102.5
Headphones & Snowcones,,2002-10-04,2022-01-21,9,259.33
Heart and Soul,Huey Lewis and the News,2003-10-31,2024-07-04,24,90.46
Heights,Matisyahu,2007-10-20,2007-10-20,1,1635.0
Hells Bells,AC/DC,2003-04-20,2003-04-20,1,2257.0
Help On the Way,Grateful Dead,1998-03-05,2025-03-21,24,117.96
Helplessly Hoping,"Crosby, Stills, & Nash",2023-01-20,2023-01-20,1,197.0
Helter Skelter,The Beatles,2005-10-28,2015-05-01,2,941.5
Her Majesty,The Beatles,2002-12-31,2003-02-05,2,1151.5
Hey Nineteen,Steely Dan,1999-09-17,2025-03-05,91,30.43
"Hey, Hey What Can I Do",Led Zeppelin,2012-12-30,2023-09-10,6,174.0
Hiccup,,2022-09-10,2025-03-07,40,5.18
Higgins,,2005-08-26,2025-04-18,345,5.79
Highway to Hell,AC/DC,2003-03-28,2003-03-28,1,2270.0
Hill Street Blues theme,Mike Post,2002-11-15,2004-02-27,2,1158.0
Hindsight,,2015-01-01,2025-03-15,27,30.81
Hit It and Quit It,Funkadelic,2013-12-31,2014-05-23,2,469.5
Hold Me Now,Thompson Twins,2017-09-23,2017-09-23,1,564.0
Hold on Loosely,38 Special,2009-02-15,2009-02-15,1,1488.0
Holding Back the Years,Simply Red,2007-12-29,2007-12-29,1,1614.0
Hollywood Nights,Bob Seger,2009-10-29,2024-05-25,21,66.48
Home,The New Deal,2014-04-02,2019-08-18,2,453.5
Home Again,The Disco Biscuits,2006-05-05,2013-07-11,2,906.0
Home Sweet Home,Mötley Crüe,1999-09-04,2009-05-02,8,338.75
Honey Bunch,"Brian, Colin and Vince",2009-02-15,2009-02-15,1,1488.0
Honky Cat,Elton John,2024-12-31,2024-12-31,1,37.0
Honky Tonk Women,The Rolling Stones,2005-11-04,2015-02-12,3,627.0
Hoochie Coochie Man,Willie Dixon,2008-12-29,2012-04-26,2,750.5
Hot for Teacher,Van Halen,2003-03-27,2022-02-19,31,73.26
Hourglass,,2011-05-27,2025-04-05,58,21.1
Hours,,1998-01-21,1999-10-22,45,63.11
House of Better Glass,House of Pain/Blondie/Tame Impala,2024-04-27,2024-10-26,2,38.5
How Many More Times,Led Zeppelin,2004-10-25,2023-09-10,11,184.45
